"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos","Player","ESPN","ESPNID","ESPNNAME"
"114","Garrett Whitlock","BOS","20191",0.283191310778076,0.208206516423106,0.334502454238965,-0.169178755701996,0.256291061323766,-0.825458431404487,0.0875541556574295,114,"SP","Garrett Whitlock",260,"39674","Garrett Whitlock"
"115","Kenta Maeda","MIN","18498",0.304070493189829,0.251522712627636,0.52033715103839,-0.61669162844553,0.406207971360039,-0.825458431404487,0.0399882683658767,115,"SP","Kenta Maeda",342,"34892","Kenta Maeda"
"116","Michael King","NYY","19853",-0.948680451515358,-0.809724094383346,-0.966340423357016,1.03251766164813,0.930202131478868,0.730786843827854,-0.0312383323008656,116,"SP","Michael King",315,"40429","Michael King"
"117","Cole Irvin","BAL","19244",1.36890879618924,0.359813203138961,1.26367593823609,-1.54356216734368,-0.654889140693196,-0.825458431404487,-0.0315118018770738,117,"SP",NA,NA,NA,NA
"118","Steven Matz","STL","13361",0.324949675601582,0.229864614525371,0.334502454238965,-0.191301534590911,0.0912394552822404,-0.825458431404487,-0.0362037663472407,118,"SP",NA,NA,NA,NA
"119","Germán Márquez","COL","15038",1.66121734995378,1.20447902912729,1.44951063503552,-2.04908382982517,-1.47812126671114,-0.825458431404487,-0.0374565138242001,119,"SP","German Marquez",290,"34874","German Marquez"
"120","Marco Gonzales","SEA","15467",1.49418389065976,0.229864614525371,1.26367593823609,-1.36921250073479,-0.868204934782963,-0.825458431404487,-0.0751514235010222,120,"SP",NA,NA,NA,NA
"121","Ken Waldichuk","OAK","27681",0.491983134895607,0.44644559554802,0.52033715103839,-0.432781596011994,-0.27997769476783,-0.825458431404487,-0.0794518407022936,121,"SP",NA,NA,NA,NA
"122","Andrew Chafin","ARI","12988",-0.906922086691851,-0.874698388690141,-0.966340423357016,0.959406265027768,0.286679624168957,1.411644151742,-0.0902308578002804,122,"SP",NA,NA,NA,NA
"123","Aaron Civale","CLE","19479",0.554620682130866,0.316497006934431,0.52033715103839,-0.932206793329938,0.273928344857444,-0.825458431404487,-0.0922820397732937,123,"SP","Aaron Civale",405,"40934","Aaron Civale"
"124","Trevor Rogers","MIA","22286",0.596379046954373,0.7063427727752,0.52033715103839,-0.563347558264533,-0.547277876970817,-0.825458431404487,-0.113024895871875,124,"SP","Trevor Rogers",316,"39640","Trevor Rogers"
"125","Roansy Contreras","PIT","22810",0.909566783130669,0.74965896897973,0.52033715103839,-0.874729135026689,-0.622713015327701,-0.825458431404487,-0.143337678610088,125,"SP","Roansy Contreras",347,NA,"Roansy Contreras"
"126","John Schreiber","BOS","20020",-0.844284539456592,-0.809724094383346,-0.966340423357016,0.862740343911898,0.0757472467729294,1.50890948144402,-0.172951985068102,126,"SP","John Schreiber",314,NA,"John Schreiber"
"127","Alexis Díaz","CIN","21132",-0.802526174633086,-0.441536426644842,-0.966340423357016,0.381281244689545,-0.158185101717693,1.80070547055009,-0.186601411113003,127,"SP","Alexis Diaz",196,"4905920","Alexis Diaz"
