playerid,me,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,ERA,WHIP,SVHD,Year
13781,Alex Wood,6.310306226,184,,,,,,,1.694079004,1.805304932,1.659420464,0.855150725,0.966129337,-0.669778238,2022
17907,Brendan Rodgers,6.309945883,265,0.997426126,0.721433318,1.019811783,1.100237693,1.59483499,0.876201972,,,,,,,2022
11368,Yasmani Grandal,6.256971768,85,1.100727826,1.42517262,1.229270331,1.228957689,-0.347397671,1.620240973,,,,,,,2022
13892,Paul Sewald,6.203459527,290,,,,,,,0.115954301,-0.571098736,0.611064135,1.513684225,1.766558172,2.767297431,2022
14993,Scott Barlow,6.190505878,164,,,,,,,0.24566318,-0.571098736,0.525484026,1.641732405,0.788256263,3.560468739,2022
17479,Jack Flaherty,6.172827836,123,,,,,,,1.002298312,1.805304932,1.188729867,1.257587864,1.588685098,-0.669778238,2022
13621,Jeimer Candelario,6.154171824,208,1.169595627,0.92250169,1.159450815,1.407174924,0.646302761,0.849146008,,,,,,,2022
18413,José Urquidy,6.124464434,212,,,,,,,1.715697151,1.805304932,1.359890084,0.324665406,1.588685098,-0.669778238,2022
19966,Bobby Dalbec,6.072626924,279,0.825256625,1.827309364,1.333999606,1.006969243,-0.257061268,1.336153354,,,,,,,2022
9256,AJ Pollock,6.067415882,236,0.653087124,1.023035876,1.019811783,0.788310384,1.233489379,1.349681336,,,,,,,2022
20633,Yusei Kikuchi,6.064307437,229,,,,,,,2.061587497,2.280585666,1.958950844,0.178324628,0.25463704,-0.669778238,2022
19447,Patrick Sandoval,6.060355741,260,,,,,,,1.802169738,1.567664565,1.894765763,0.855150725,0.610383189,-0.669778238,2022
11281,Whit Merrifield,6.040774101,71,1.686104129,0.118228203,0.949992266,1.288667119,1.730339595,0.26744279,,,,,,,2022
21224,Bailey Ober,6.035829296,191,,,,,,,1.650842711,1.330024199,1.680815491,0.544176573,1.499748561,-0.669778238,2022
17901,Andrew Benintendi,6.025533422,170,1.031860026,0.620899132,1.159450815,1.130688061,1.233489379,0.849146008,,,,,,,2022
11265,Jothan Schoop,6.020367922,196,1.169595627,1.123570062,1.299089848,1.148661754,0.917311969,0.362138662,,,,,,,2022
19566,thaniel Lowe,5.97774704,,1.169595627,0.821967504,1.194360573,1.291790311,0.691470962,0.808562063,,,,,,,2022
1943,Zack Greinke,5.976828244,230,,,,,,,2.212914523,2.280585666,1.31710003,-0.041186538,0.8771928,-0.669778238,2022
5933,Jean Segura,5.94452592,160,1.307331227,0.319296575,0.88017275,1.142327383,1.730339595,0.56505839,,,,,,,2022
19198,Yuli Gurriel,5.89647963,114,1.031860026,0.41983076,1.124541057,1.106242479,1.59483499,0.619170317,,,,,,,2022
20492,Casey Mize,5.890265055,250,,,,,,,2.126441937,2.042945299,1.424075166,0.178324628,0.788256263,-0.669778238,2022
19979,Zach Plesac,5.886426618,220,,,,,,,2.212914523,2.042945299,1.46686522,-0.132649524,0.966129337,-0.669778238,2022
10950,Adam Duvall,5.875918244,233,0.997426126,2.128911921,1.648187429,0.893125346,-0.573238678,0.781506099,,,,,,,2022
19753,Jothan Loáisiga,5.859196748,300,,,,,,,0.224045034,-0.571098736,0.311533755,2.245388113,1.410812023,2.238516559,2022
17919,Ian Happ,5.859132048,243,1.100727826,1.525706806,1.194360573,1.161939698,-0.121556664,0.997953809,,,,,,,2022
9323,Patrick Corbin,5.817060455,216,,,,,,,2.407477843,2.518226033,1.980345871,-0.407038482,-0.012172572,-0.669778238,2022
16997,Gleyber Torres,5.766444797,167,1.031860026,0.92250169,1.089631299,1.131857568,0.917311969,0.673282245,,,,,,,2022
