playerid,Name,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
11200,Kole Calhoun,3.627592853,250,0.818813173,1.011172041,0.8010927218,0.7025024846,-0.3724921825,0.6665046155,,,,,,,2021
17901,Andrew Benintendi,3.626417066,180,1.001223298,0.2246372565,0.6027315742,0.9328713952,0.4374330948,0.4275204471,,,,,,,2021
20126,Dylan Carlson,3.62075202,170,0.913666438,0.5558097973,0.8861046422,0.828515837,0.1581485164,0.2785067893,,,,,,,2021
10556,Cesar Hernandez,3.617865035,253,1.066890943,-0.1686301356,0.3760331197,0.9514123085,1.200810942,0.1913478573,,,,,,,2021
sa917929,Alexander Kirilloff,3.611665273,#N/A,0.3737324679,0.2039389727,0.3476958129,0.5230157391,1.508023979,0.6552583017,,,,,,,2021
12927,Brandon Nimmo,3.610763516,230,0.928259248,0.3488269593,0.2626838925,0.840223583,0.1116010867,1.119168746,,,,,,,2021
13769,Adalberto Mondesi,3.583747296,54,1.351450738,0.5558097973,0.8790203155,0.667147747,0.2791718337,-0.1488531352,,,,,,,2021
17338,Willi Castro,3.538366844,284,0.753145528,0.1625424051,0.631068881,0.7036050765,1.079787625,0.208217328,,,,,,,2021
12147,Nick Ahmed,3.518192161,#N/A,0.972037678,0.4730166621,1.056128483,0.88156758,0.2140054321,-0.07856367397,,,,,,,2021
10231,Jose Iglesias,3.504893412,346,0.607217428,-0.2721215546,0.6664905145,0.6680411109,1.787308557,0.04795735631,,,,,,,2021
20521,Nick Madrigal,3.391929298,161,0.694774288,-0.7274837982,0.298105526,0.7177655689,2.3551872,0.05358051321,,,,,,,2021
15518,Amed Rosario,3.360809111,#N/A,0.680181478,-0.08583700045,0.3831174464,0.5748857713,1.591809352,0.2166520633,,,,,,,2021
19363,Austin Hays,3.316069078,193,0.687477883,0.7213960676,0.5956472475,0.5067614452,0.6050038419,0.1997825926,,,,,,,2021
15986,Willy Adames,3.311320538,#N/A,0.833405983,0.6179046487,0.6948278213,0.7933804104,0.1860769743,0.1857247004,,,,,,,2021
19293,Nick Senzel,3.206077875,297,0.862591603,0.4109218107,0.5602256139,0.6449653232,0.409504637,0.3178688876,,,,,,,2021
10950,Adam Duvall,3.188631732,#N/A,0.636403048,1.404439433,1.098634443,0.5711892284,-0.8286569939,0.3066225738,,,,,,,2021
4940,Jason Heyward,3.16011997,336,0.731256313,0.2867321079,0.6169002276,0.7639315294,0.3815761792,0.3797236135,,,,,,,2021
11205,Adam Eaton,3.147569444,466,1.023112513,0.03835270233,0.2839368726,0.7229701936,0.7725745889,0.3066225738,,,,,,,2021
16578,Yandy Diaz,3.080616997,#N/A,0.526956973,-0.230724987,0.09974437836,0.6293858551,1.405619633,0.6496351448,,,,,,,2021
10847,Andrelton Simmons,2.939182586,#N/A,0.840702388,-0.3549146898,0.5177196537,0.7078992715,1.396310147,-0.1685341844,,,,,,,2021
12532,Kolten Wong,2.928499195,215,0.826109578,-0.1686301356,0.4043704265,0.7462151199,0.9122168781,0.208217328,,,,,,,2021
15711,Tyler O'Neill,2.81330606,#N/A,0.738552718,1.197456595,0.9215262757,0.5116057151,-0.6797052187,0.1238699745,,,,,,,2021
15223,Adam Frazier,2.787626257,316,0.723959908,-0.1065352843,0.3406114862,0.6807273854,1.005311738,0.1435510236,,,,,,,2021
12371,Tommy La Stella,2.782968088,243,0.4102144929,-0.230724987,0.156418992,0.4659679295,1.424238605,0.5568530559,,,,,,,2021
19470,Tommy Edman,2.773819925,146,0.899073628,-0.02374214906,0.3831174464,0.6339209619,0.9122168781,-0.03076684031,,,,,,,2021
9077,Lorenzo Cain,2.738628397,222,0.877184413,-0.2514232708,0.1209973585,0.6859952783,1.210120428,0.09575418997,,,,,,,2021
13367,Stephen Piscotty,2.622432875,#N/A,0.621810238,0.6593012163,0.8648516621,0.5928842184,-0.10251709,-0.01389736961,,,,,,,2021
17907,Brendan Rodgers,2.515194502,#N/A,0.3737324679,0.2246372565,0.4752136935,0.4281423029,0.7911935608,0.2222752202,,,,,,,2021
5827,Wilmer Flores,2.475769099,341,-0.1224230721,0.03835270233,0.1139130318,0.07633685292,1.489405007,0.8801845777,,,,,,,2021
