"","Name","playerid","R","HR","RBI","RC","wba","wops","pr"
"249","Gio Urshela","10681",-0.583820267188795,-0.451310672390002,-0.244730506832292,-0.426084143155475,-0.0938891004964703,-0.338874092910085,-3.42125513833486
"252","Riley Greene","sa3010694",-0.322709485187114,-0.451310672390002,-0.399520622352402,-0.325075291160222,-0.213272019328516,-0.278004083869805,-4.00740361683342
"253","Lane Thomas","16939",-0.166043015986105,-0.329605507878643,-0.296327212005662,-0.407646355779277,-0.447352449411822,-0.361039346765571,-4.02552533037244
"254","Ryan Jeffers","24618",-1.10604183119216,-0.207900343367283,-0.709100853392623,-0.996638318679661,-1.14953042334308,-0.972874237356496,-4.07576265596869
"255","Michael A. Taylor","11489",-0.37493164158745,-0.451310672390002,-0.347923917179032,-0.573337217386666,-0.0798012195947838,-0.235510125764003,-4.0803262364473
"257","Willie Calhoun","17838",-0.636042423589131,-0.207900343367283,-0.502714032699142,-0.434680762441578,-0.281716959799183,-0.361345438366432,-3.88633580410562
"261","Austin Nola","15941",-1.15826398759249,-0.93813133043544,-0.760697558565993,-0.805363354810316,-0.766340062817203,-0.90031997306954,-4.26279291592837
"262","Aaron Hicks","5297",-0.270487328786778,-0.0861951788559239,-0.347923917179032,-0.330833303186759,-0.744432616561098,-0.490452764633242,-4.28783655174819
"263","Eric Haase","14111",-1.10604183119216,-0.0861951788559239,-0.657504148219253,-1.17451457284229,-1.26356311324842,-1.10440918666462,-4.14257134632671
"264","Rafael Ortega","10323",-0.166043015986105,-0.573015836901362,-0.657504148219253,-0.435275775901186,-0.170945060304797,-0.292590931883273,-4.31288621174133
"265","Seth Brown","18171",-0.270487328786778,0.400625479189514,0.168043134554668,-0.51021047413441,-0.451151428531378,-0.265084907336894,-4.36161195453292
"267","Manuel Margot","14712",-0.37493164158745,-0.816426165924081,-0.502714032699142,-0.562242820396108,-0.176675187143461,-0.383362923862881,-3.978288615456
"268","Martín Maldonado","6887",-0.949375361991149,-0.573015836901362,-0.863890968912733,-1.13928246572438,-1.13496767005145,-0.985012352563072,-4.57922130478153
"269","Rowdy Tellez","15679",-0.479375954388123,0.278920314678155,0.0648497242079278,-0.1960885894786,-0.397585822945639,-0.2705945561524,-4.59902538842364
"270","Jeremy Peña","sa876320",-0.531598110788459,-0.207900343367283,-0.502714032699142,-0.587966917405194,-0.287890300868461,-0.362580359652666,-4.70105007344932
"271","Didi Gregorius","6012",-0.636042423589131,-0.329605507878643,-0.0383436861388122,-0.616130466997398,-0.407779750249781,-0.475475385956607,-4.72377722947849
"272","Kole Calhoun","11200",-0.270487328786778,0.278920314678155,-0.141537096485552,-0.340095337965051,-0.517633563123607,-0.318788150963899,-4.74296759213438
"273","Josh Harrison","8202",-0.636042423589131,-0.93813133043544,-0.605907443045883,-0.472150513518713,-0.0478897949905135,-0.374296279547708,-3.88635362897026
"274","Yan Gomes","9627",-1.15826398759249,-0.573015836901362,-0.863890968912733,-1.06929080313606,-1.07921765147197,-1.12779880692355,-4.80515470357555
"276","Jonathan Villar","10071",-0.37493164158745,-0.573015836901362,-0.812294263739363,-0.579886590950353,-0.306695247510263,-0.440127083498502,-4.36949701954903
"278","Nick Madrigal","20521",-0.427153797987787,-1.54665715299224,-0.812294263739363,-0.262691000343352,0.537058014943114,-0.12224567856247,-4.87135384104499
"279","Joey Bart","21524",-1.10604183119216,-0.93813133043544,-0.967084379259473,-1.15624172956075,-0.804456486650082,-1.00426445876898,-4.90989686450427
"280","Kyle Farmer","14813",-0.636042423589131,-0.573015836901362,-0.347923917179032,-0.543920197567845,-0.192820848401573,-0.406689214825083,-4.92081244713214
"281","Tony Kemp","14894",-0.270487328786778,-1.18154165945816,-0.967084379259473,-0.335123419498447,-0.175725442363572,-0.331643998200081,-4.79020873807605
"282","Jurickson Profar","10815",-0.37493164158745,-0.816426165924081,-0.657504148219253,-0.549902141399566,-0.411262147776041,-0.451906332690274,-3.95720175477287
"283","Tucker Barnhart","10200",-1.21048614399283,-1.0598364949468,-0.915487674086103,-1.07879271964657,-0.853210052017716,-0.950920081156777,-5.00240981448418
"284","Jake Fraley","19260",-0.479375954388123,-0.329605507878643,-0.451117327525772,-0.547232426329671,-0.839597043505974,-0.673432212651672,-5.01562964945606
